gene,signature,cluster
STAU2,Primary,G2
STK3,Primary,G2
STMN2,Primary,G2
SULF1,Primary,G2
SYBU,Primary,G2
TAF2,Primary,G2
TATDN1,Primary,G2
TBC1D31,Primary,G2
TCEA1,Primary,G2
TERF1,Primary,G2
TG,Primary,G2
TGS1,Primary,G2
THEM6,Primary,G2
TIGD5,Primary,G2
TMEM249,Primary,G2
TMEM64,Primary,G2
TMEM65,Primary,G2
TMEM67,Primary,G2
TMEM68,Primary,G2
TMEM70,Primary,G2
TMEM71,Primary,G2
TMEM74,Primary,G2
TNFRSF11B,Primary,G2
TONSL,Primary,G2
TOP1MT,Primary,G2
TOX,Primary,G2
TP53INP1,Primary,G2
TPD52,Primary,G2
TRAM1,Primary,G2
TRAPPC9,Primary,G2
TRHR,Primary,G2
TRIB1,Primary,G2
TRIM55,Primary,G2
TRIQK,Primary,G2
TRMT12,Primary,G2
TRPS1,Primary,G2
TSNARE1,Primary,G2
TSPYL5,Primary,G2
TSTA3,Primary,G2
TTPA,Primary,G2
UBE2W,Primary,G2
UBR5,Primary,G2
UBXN2B,Primary,G2
UQCRB,Primary,G2
UTP23,Primary,G2
VCPIP1,Primary,G2
VPS13B,Primary,G2
VPS28,Primary,G2
WDYHV1,Primary,G2
WISP1,Primary,G2
WWP1,Primary,G2
XKR9,Primary,G2
YTHDF3,Primary,G2
YWHAZ,Primary,G2
ZBTB10,Primary,G2
ZC2HC1A,Primary,G2
ZC3H3,Primary,G2
ZFAND1,Primary,G2
ZFAT,Primary,G2
ZFHX4,Primary,G2
ZFP41,Primary,G2
ZFPM2,Primary,G2
ZHX1,Primary,G2
ZHX2,Primary,G2
ZNF16,Primary,G2
ZNF250,Primary,G2
ZNF251,Primary,G2
ZNF252P,Primary,G2
ZNF34,Primary,G2
ZNF517,Primary,G2
ZNF572,Primary,G2
ZNF623,Primary,G2
ZNF696,Primary,G2
ZNF7,Primary,G2
ZNF704,Primary,G2
ZNF706,Primary,G2
ZNF707,Primary,G2
ABCB5,Primary,G3
ABHD12,Primary,G3
ACSS1,Primary,G3
ACTB,Primary,G3
ADAM33,Primary,G3
ADAP1,Primary,G3
ADCYAP1R1,Primary,G3
ADRA1D,Primary,G3
AGMO,Primary,G3
AGR3,Primary,G3
AIMP2,Primary,G3
AMPH,Primary,G3
AMZ1,Primary,G3
ANGPT4,Primary,G3
ANKEF1,Primary,G3
ANKMY2,Primary,G3
AP5S1,Primary,G3
AP5Z1,Primary,G3
APMAP,Primary,G3
AQP1,Primary,G3
ARL4A,Primary,G3
ATRN,Primary,G3
AVL9,Primary,G3
BANF2,Primary,G3
BBS9,Primary,G3
BFSP1,Primary,G3
BMP2,Primary,G3
BMPER,Primary,G3
BRAT1,Primary,G3
BTBD3,Primary,G3
BZW2,Primary,G3
C1GALT1,Primary,G3
C20orf141,Primary,G3
C20orf202,Primary,G3
C20orf27,Primary,G3
C20orf96,Primary,G3
C7orf26,Primary,G3
C7orf31,Primary,G3
C7orf50,Primary,G3
CARD11,Primary,G3
CBX3,Primary,G3
CCDC126,Primary,G3
CCDC129,Primary,G3
CCZ1,Primary,G3
CCZ1B,Primary,G3
CDC25B,Primary,G3
CDCA7L,Primary,G3
CDS2,Primary,G3
CENPB,Primary,G3
CHGB,Primary,G3
CHN2,Primary,G3
CHST12,Primary,G3
COL28A1,Primary,G3
COX19,Primary,G3
CPVL,Primary,G3
CPXM1,Primary,G3
CREB5,Primary,G3
CRHR2,Primary,G3
CRLS1,Primary,G3
CRNKL1,Primary,G3
CSNK2A1,Primary,G3
CST1,Primary,G3
CST11,Primary,G3
CST13P,Primary,G3
CST2,Primary,G3
CST3,Primary,G3
CST4,Primary,G3
CST5,Primary,G3
CST9,Primary,G3
CSTL1,Primary,G3
CYCS,Primary,G3
CYP2W1,Primary,G3
CYTH3,Primary,G3
DAGLB,Primary,G3
DDRGK1,Primary,G3
DEFB126,Primary,G3
DSTN,Primary,G3
DTD1,Primary,G3
DZANK1,Primary,G3
EBF4,Primary,G3
EIF2AK1,Primary,G3
EIF3B,Primary,G3
ENTPD6,Primary,G3
ESF1,Primary,G3
ETV1,Primary,G3
FAM110A,Primary,G3
FAM126A,Primary,G3
FAM182A,Primary,G3
FAM20C,Primary,G3
FAM220A,Primary,G3
FAM221A,Primary,G3
FASTKD5,Primary,G3
FBXL18,Primary,G3
FERMT1,Primary,G3
FKBP14,Primary,G3
FKBP1A,Primary,G3
FKBP9,Primary,G3
FLRT3,Primary,G3
FOXA2,Primary,G3
FOXK1,Primary,G3
FSCN1,Primary,G3
GARS,Primary,G3
GET4,Primary,G3
GGCT,Primary,G3
GHRHR,Primary,G3
GINS1,Primary,G3
GLCCI1,Primary,G3
GNA12,Primary,G3
GNRH2,Primary,G3
GPCPD1,Primary,G3
GPNMB,Primary,G3
GPR146,Primary,G3
GRID2IP,Primary,G3
GZF1,Primary,G3
HDAC9,Primary,G3
HIBADH,Primary,G3
HNRNPA2B1,Primary,G3
HOXA1,Primary,G3
HOXA10,Primary,G3
HOXA11,Primary,G3
HOXA13,Primary,G3
HOXA2,Primary,G3
HOXA3,Primary,G3
HOXA4,Primary,G3
HOXA5,Primary,G3
HOXA6,Primary,G3
HOXA7,Primary,G3
HOXA9,Primary,G3
HSPA12B,Primary,G3
ICA1,Primary,G3
IDH3B,Primary,G3
IGF2BP3,Primary,G3
IL6,Primary,G3
INMT,Primary,G3
INTS1,Primary,G3
IQCE,Primary,G3
ISM1,Primary,G3
ISPD,Primary,G3
ITPA,Primary,G3
JAG1,Primary,G3
JAZF1,Primary,G3
KBTBD2,Primary,G3
KDELR2,Primary,G3
KIF16B,Primary,G3
KLHL7,Primary,G3
LAMP5,Primary,G3
LFNG,Primary,G3
LINC00652,Primary,G3
LINC00654,Primary,G3
LRRN4,Primary,G3
LSM5,Primary,G3
LZTS3,Primary,G3
MACC1,Primary,G3
MACROD2,Primary,G3
MAD1L1,Primary,G3
MAFK,Primary,G3
MALSU1,Primary,G3
MAVS,Primary,G3
MCM8,Primary,G3
MEOX2,Primary,G3
MGME1,Primary,G3
MIOS,Primary,G3
MKKS,Primary,G3
MMD2,Primary,G3
MPP6,Primary,G3
MRPS26,Primary,G3
NAA20,Primary,G3
NANP,Primary,G3
NAPB,Primary,G3
NCOR1P1,Primary,G3
NDUFA4,Primary,G3
NDUFAF5,Primary,G3
NFE2L3,Primary,G3
NINL,Primary,G3
NOD1,Primary,G3
NOP56,Primary,G3
NRSN2,Primary,G3
NSFL1C,Primary,G3
NT5C3A,Primary,G3
NUDT1,Primary,G3
NUPL2,Primary,G3
NXPH1,Primary,G3
NXT1,Primary,G3
OCM,Primary,G3
OSBPL3,Primary,G3
OTOR,Primary,G3
OVOL2,Primary,G3
OXT,Primary,G3
PANK2,Primary,G3
PAPOLB,Primary,G3
PCED1A,Primary,G3
PCNA,Primary,G3
PDGFA,Primary,G3
PDYN,Primary,G3
PHF14,Primary,G3
PLCB1,Primary,G3
PLCB4,Primary,G3
PLEKHA8,Primary,G3
PMS2,Primary,G3
