gene,signature,cluster
PAN3,Metastatic,G2
PARP4,Metastatic,G2
PCCA,Metastatic,G2
PCDH17,Metastatic,G2
PCDH20,Metastatic,G2
PCDH8,Metastatic,G2
PCDH9,Metastatic,G2
PCID2,Metastatic,G2
PDS5B,Metastatic,G2
PDX1,Metastatic,G2
PHF11,Metastatic,G2
PIBF1,Metastatic,G2
POLR1D,Metastatic,G2
POMP,Metastatic,G2
POSTN,Metastatic,G2
POU4F1,Metastatic,G2
PROZ,Metastatic,G2
PSPC1,Metastatic,G2
RAB20,Metastatic,G2
RAP2A,Metastatic,G2
RASA3,Metastatic,G2
RB1,Metastatic,G2
RBM26,Metastatic,G2
RCBTB1,Metastatic,G2
RCBTB2,Metastatic,G2
RFC3,Metastatic,G2
RFXAP,Metastatic,G2
RNASEH2B,Metastatic,G2
RNF17,Metastatic,G2
RNF219,Metastatic,G2
RNF6,Metastatic,G2
RPL21,Metastatic,G2
RXFP2,Metastatic,G2
SACS,Metastatic,G2
SAP18,Metastatic,G2
SCEL,Metastatic,G2
SERP2,Metastatic,G2
SETDB2,Metastatic,G2
SGCG,Metastatic,G2
SLAIN1,Metastatic,G2
SLC10A2,Metastatic,G2
SLC15A1,Metastatic,G2
SLC25A15,Metastatic,G2
SLC25A30,Metastatic,G2
SLC46A3,Metastatic,G2
SLC7A1,Metastatic,G2
SLITRK1,Metastatic,G2
SLITRK5,Metastatic,G2
SLITRK6,Metastatic,G2
SMAD9,Metastatic,G2
SOHLH2,Metastatic,G2
SOX1,Metastatic,G2
SOX21,Metastatic,G2
SPATA13,Metastatic,G2
SPERT,Metastatic,G2
SPG20,Metastatic,G2
SPRY2,Metastatic,G2
STARD13,Metastatic,G2
STK24,Metastatic,G2
STOML3,Metastatic,G2
SUCLA2,Metastatic,G2
SUGT1,Metastatic,G2
TBC1D4,Metastatic,G2
TDRD3,Metastatic,G2
TFDP1,Metastatic,G2
TGDS,Metastatic,G2
THSD1,Metastatic,G2
TM9SF2,Metastatic,G2
TMCO3,Metastatic,G2
TMTC4,Metastatic,G2
TNFRSF19,Metastatic,G2
TNFSF11,Metastatic,G2
TNFSF13B,Metastatic,G2
TPP2,Metastatic,G2
TPT1,Metastatic,G2
TPTE2,Metastatic,G2
TRIM13,Metastatic,G2
TRPC4,Metastatic,G2
TSC22D1,Metastatic,G2
TUBGCP3,Metastatic,G2
UBAC2,Metastatic,G2
UBL3,Metastatic,G2
UCHL3,Metastatic,G2
UFM1,Metastatic,G2
UPF3A,Metastatic,G2
USP12,Metastatic,G2
USPL1,Metastatic,G2
VPS36,Metastatic,G2
WASF3,Metastatic,G2
WBP4,Metastatic,G2
WDFY2,Metastatic,G2
XPO4,Metastatic,G2
ZC3H13,Metastatic,G2
ZDHHC20,Metastatic,G2
ZIC2,Metastatic,G2
ZIC5,Metastatic,G2
ZMYM2,Metastatic,G2
ZMYM5,Metastatic,G2
ABHD12,Metastatic,G3
ADAM28,Metastatic,G3
AGPAT5,Metastatic,G3
ARHGEF10,Metastatic,G3
BMP1,Metastatic,G3
C20orf26,Metastatic,G3
CHRNA2,Metastatic,G3
CSGALNACT1,Metastatic,G3
CSMD1,Metastatic,G3
CSTL1,Metastatic,G3
